ProspectiveBuyerKey,FirstName,LastName,Age,MaritalStatus,Gender,AnnualIncome,TotalChildren,ChildrenAtHomeCount,EducationLevel,WorkClass,HomeOwnership,CarsOwned,City,StateProvinceCode,PostalCode,Unknown
108,Erika,Larson,36,S,F,50000,0,0,Graduate D,Skilled Manual,0,0,Concord,ND,58786,4
109,Ella,Hanson,46,S,F,50000,5,5,Bachelors,Skilled Manual,0,2,Bellingham,MN,56762,1
110,Ingrid,Larson,60,S,F,50000,2,1,Partial Co,Professional,1,2,Puyallup,MN,56560,1
111,Ella,Hanson,50,S,F,100000,5,0,Bachelors,Professional,1,1,Chula Vista,ND,58800,4
112,Ingrid,Carlson,44,S,F,30000,2,2,Partial Co,Manual,0,0,Chula Vista,ND,58807,4
113,Erika,Johnson,76,M,F,50000,2,0,Graduate D,Management,0,2,Sparks,MT,59138,4
114,Ella,Olson,39,S,F,60000,1,0,Graduate D,Professional,1,0,Grossmont,ND,58172,4
115,Erika,Larson,40,M,F,70000,4,0,Graduate D,Professional,1,0,Oregon City,SD,57287,1
116,Kirsten,Carlson,51,S,F,50000,4,0,Graduate D,Skilled Manual,1,0,Portland,SD,57142,1
117,Katrin,Carlson,39,S,F,30000,0,0,High Schoo,Manual,0,1,Spokane,MN,56628,1
118,Erika,Anderson,58,S,F,60000,3,1,High Schoo,Professional,1,2,Concord,ND,58092,4
119,Hans,Carlson,56,S,M,50000,2,1,Partial Co,Professional,0,2,San Francisco,ND,58146,4
120,Ella,Carlson,43,M,F,50000,2,2,Bachelors,Skilled Manual,1,1,Ballard,MN,55727,1
121,Carl,Johnson,43,S,M,40000,0,0,High Schoo,Skilled Manual,1,1,Bothell,MN,56235,1
122,Ella,Hanson,59,M,F,10000,3,0,Partial Co,Manual,1,2,Los Angeles,ND,58632,4
123,Sven,Anderson,41,M,M,100000,1,0,Graduate D,Management,1,0,Edmonds,MN,55866,1
124,Ingrid,Olson,55,M,F,20000,3,0,Partial Hi,Clerical,0,2,Spokane,MN,55874,1
125,Hans,Olson,66,S,M,50000,4,0,Bachelors,Management,0,2,Corvallis,SD,57394,1
126,Kirsten,Larson,37,S,F,60000,0,0,Partial Co,Skilled Manual,1,2,Laredo,OH,45321,4
127,Sven,Olson,46,M,M,40000,1,0,Bachelors,Skilled Manual,0,0,Bremerton,MN,56208,1
128,Carl,Johnson,42,S,M,30000,1,1,Bachelors,Clerical,1,0,Bremerton,MN,55364,1
129,Katrin,Carlson,42,M,F,20000,1,1,Partial Co,Manual,1,1,Humble,OH,44785,4
130,Ella,Larson,55,S,F,10000,2,0,Partial Co,Manual,1,0,Olympia,MN,55008,1
131,Ella,Hanson,53,S,F,20000,1,0,Bachelors,Clerical,0,0,Colma,ND,58219,4
132,Erik,Carlson,53,M,M,40000,1,0,Partial Co,Clerical,1,1,Carson,ND,58495,4
133,Erika,Carlson,59,M,F,80000,5,2,High Schoo,Professional,1,2,Las Vegas,MT,59515,4
134,Kirsten,Johnson,35,M,F,50000,0,0,Graduate D,Skilled Manual,0,0,Long Beach,ND,58800,4
135,Hans,Anderson,36,S,M,40000,0,0,Graduate D,Clerical,1,0,Burien,MN,56289,1
136,Ingrid,Johnson,38,S,F,90000,0,0,Bachelors,Professional,0,0,Cheektowaga,MN,56040,2
137,John,Anderson,35,S,M,50000,0,0,High Schoo,Skilled Manual,0,2,Edmonds,MN,56023,1
138,Ella,Carlson,43,M,F,80000,5,5,Graduate D,Management,1,3,Monroe,MN,56691,1
139,Hans,Olson,77,M,M,60000,2,0,Graduate D,Management,1,2,Burbank,ND,58121,4
140,Erik,Larson,64,M,M,60000,4,0,Bachelors,Management,1,2,Lake Oswego,SD,57248,1
141,Ella,Anderson,53,S,F,10000,1,0,Bachelors,Clerical,1,0,New Haven,OH,45042,0
142,John,Larson,43,S,M,60000,0,0,Graduate D,Professional,1,1,Cheektowaga,MN,55041,2
143,Ole,Carlson,64,S,M,60000,4,0,Bachelors,Management,0,2,Lake Oswego,SD,57419,1
144,Ole,Olson,41,M,M,50000,2,2,Bachelors,Skilled Manual,1,1,Suwanee,WY,82204,5
145,Katrin,Larson,35,S,F,30000,0,0,Partial Co,Clerical,1,1,Bremerton,MN,56259,1
146,John,Hanson,46,S,M,30000,1,0,Bachelors,Skilled Manual,1,1,Concord,ND,58333,4
147,Ole,Larson,42,S,M,90000,4,4,Partial Co,Skilled Manual,0,2,Portland,SD,57762,1
148,John,Carlson,58,M,M,50000,2,1,Partial Hi,Skilled Manual,1,2,W. Linn,SD,57312,1
149,Katrin,Anderson,51,M,F,70000,5,5,Graduate D,Professional,1,3,Edmonds,MN,55716,1
150,Ella,Carlson,49,S,F,80000,5,4,Partial Co,Professional,0,3,Richmond,ND,58256,4
151,Erika,Carlson,37,S,F,90000,4,4,Partial Co,Skilled Manual,0,2,Miami,WI,53406,5
152,John,Carlson,44,S,M,100000,0,0,Graduate D,Management,1,1,Lebanon,SD,57517,1
153,Erik,Olson,53,S,M,50000,2,0,High Schoo,Skilled Manual,0,2,Puyallup,MN,56081,1
154,Inga,Olson,55,S,F,90000,2,1,High Schoo,Professional,1,1,Concord,ND,58776,4
155,Ingrid,Anderson,47,M,F,20000,2,0,Partial Co,Manual,1,1,Hillsboro,OH,45694,4
156,Inga,Olson,60,S,F,80000,5,2,High Schoo,Professional,0,2,Bellevue,MN,55844,1
157,Hans,Johnson,40,S,M,50000,0,0,Graduate D,Skilled Manual,1,0,Colma,ND,58832,4
158,Ingrid,Larson,47,S,F,50000,4,2,Bachelors,Professional,1,3,Puyallup,MN,55055,1
159,Katrin,Carlson,49,M,F,40000,4,3,High Schoo,Skilled Manual,1,3,Berkeley,ND,58163,4
160,Ella,Johnson,60,S,F,110000,4,5,Partial Co,Management,1,2,Lynnwood,MN,55270,1
161,Ella,Larson,38,S,F,110000,0,5,Partial Co,Management,1,3,San Francisco,ND,58231,4
162,Ole,Larson,37,S,M,20000,0,0,Partial Hi,Manual,0,2,Beaverton,SD,57661,1
163,Sven,Olson,54,M,M,40000,1,0,Partial Co,Clerical,1,1,Chicago,IL,60610,3
164,Sven,Hanson,56,M,M,20000,3,0,Partial Hi,Manual,1,2,Sedro Woolley,MN,55603,1
165,Sven,Anderson,43,S,M,80000,5,5,Bachelors,Professional,1,4,Chula Vista,ND,58423,4
166,Inga,Olson,55,M,F,80000,3,2,Partial Co,Professional,1,1,Colma,ND,58034,4
167,Ella,Johnson,63,S,F,50000,2,1,Bachelors,Management,0,1,Marysville,MN,56175,1
168,Hans,Olson,33,S,M,50000,0,0,Partial Co,Skilled Manual,0,2,Portland,SD,57077,1
169,Ingrid,Larson,42,M,F,50000,2,2,Bachelors,Skilled Manual,1,0,Bothell,MN,55882,1
170,Sven,Carlson,51,M,M,110000,1,1,Bachelors,Management,1,4,Mansfield,OH,44903,3
171,Hans,Larson,53,M,M,30000,2,0,High Schoo,Skilled Manual,1,2,Sedro Woolley,MN,56177,1
172,Sven,Carlson,37,S,M,70000,0,0,Partial Co,Professional,1,2,Burbank,ND,58433,4
173,Kirsten,Carlson,35,M,F,20000,0,0,High Schoo,Manual,1,1,Colma,ND,58389,4
174,Ole,Hanson,31,S,M,50000,0,0,Graduate D,Skilled Manual,0,0,Portland,SD,57695,1
175,Ella,Johnson,38,S,F,20000,0,0,Partial Hi,Manual,0,2,Seattle,MN,56511,1
176,Ingrid,Anderson,40,S,F,40000,2,2,Partial Co,Clerical,1,2,Colma,ND,58794,4
177,Kirsten,Hanson,68,S,F,120000,2,4,Graduate D,Management,0,3,Phoenix,IL,60980,4
178,Ole,Larson,59,M,M,60000,2,1,Partial Co,Professional,0,1,National City,ND,58805,4
179,Erik,Olson,30,S,M,30000,0,0,Partial Hi,Clerical,1,2,La Jolla,ND,58120,4
180,Sven,Anderson,45,S,M,60000,3,3,Bachelors,Professional,1,1,Clearwater,WI,53657,5
181,Ella,Anderson,39,M,F,90000,0,0,Partial Hi,Professional,0,4,Bellflower,ND,58350,4
182,Katrin,Johnson,69,M,F,20000,1,0,Bachelors,Clerical,1,0,Chicago,IL,60610,3
183,Sven,Anderson,37,M,M,10000,0,0,Graduate D,Manual,1,0,Milford,OH,43546,0
184,Ella,Larson,49,M,F,20000,1,0,Graduate D,Clerical,1,0,Olympia,MN,56655,1
185,Erik,Olson,39,S,M,80000,4,4,Graduate D,Management,0,1,Berkeley,ND,58260,4
186,Ella,Olson,32,M,F,40000,4,4,Partial Co,Clerical,1,2,Chula Vista,ND,58449,4
187,Ingrid,Johnson,64,M,F,130000,4,4,Partial Co,Professional,1,4,Columbus,WY,82872,5
188,Ingrid,Larson,60,S,F,110000,4,5,Partial Co,Management,0,2,Chula Vista,ND,58509,4
189,Kirsten,Hanson,50,S,F,50000,1,0,Partial Co,Skilled Manual,0,1,Issaquah,MN,56748,1
190,Hans,Carlson,46,M,M,60000,3,3,Bachelors,Professional,1,2,Lynnwood,MN,56586,1
191,Katrin,Anderson,43,M,F,30000,1,1,Bachelors,Clerical,1,0,Downey,ND,58542,4
192,Erika,Johnson,34,S,F,40000,0,0,High Schoo,Skilled Manual,1,2,Palo Alto,ND,58673,4
193,John,Olson,36,S,M,30000,0,0,Partial Co,Clerical,0,1,W. Linn,MT,59765,4
194,Inga,Anderson,42,S,F,110000,2,1,Graduate D,Management,1,3,Colma,ND,58495,4
195,Inga,Larson,36,S,F,40000,3,3,Partial Co,Clerical,1,2,Carol Stream,IL,60188,3
196,Hans,Hanson,61,S,M,30000,3,0,Partial Co,Clerical,0,2,Coronado,ND,58018,4
197,Katrin,Carlson,34,M,F,70000,0,0,High Schoo,Management,1,3,Burlingame,ND,58651,4
198,Sven,Olson,35,S,M,70000,0,0,Partial Hi,Skilled Manual,1,3,Ballard,MN,55098,1
199,Sven,Larson,40,M,M,50000,1,1,Bachelors,Skilled Manual,0,1,Colma,ND,58553,4
200,John,Anderson,33,M,M,30000,0,0,Partial Hi,Clerical,1,2,Fremont,ND,58588,4
201,Kirsten,Hanson,58,M,F,30000,3,0,High Schoo,Skilled Manual,1,2,Heath,OH,43056,3
202,Kirsten,Olson,36,S,F,50000,0,0,High Schoo,Skilled Manual,1,2,Issaquah,MN,55730,1
203,Kirsten,Hanson,39,M,F,60000,1,0,Graduate D,Professional,1,0,Philadelphia,MN,56439,0
204,Inga,Carlson,32,S,F,40000,0,0,High Schoo,Skilled Manual,0,2,North Bend,MN,55134,1
205,Kirsten,Carlson,46,S,F,30000,2,2,Partial Co,Clerical,0,0,Corvallis,SD,57522,1
206,Ella,Olson,48,M,F,50000,2,0,High Schoo,Skilled Manual,1,2,Novato,ND,58064,4
207,Carl,Johnson,50,M,M,70000,5,4,Partial Co,Skilled Manual,1,3,Concord,ND,58342,4
208,Erik,Carlson,40,S,M,50000,1,1,Bachelors,Skilled Manual,0,1,Missoula,MT,59801,0
209,Inga,Hanson,34,M,F,20000,0,0,High Schoo,Manual,1,1,Mill Valley,ND,58297,4
210,Ole,Olson,41,M,M,70000,5,5,Graduate D,Professional,1,2,Boise,IA,52095,0
211,Kirsten,Carlson,35,S,F,50000,0,0,Partial Co,Skilled Manual,0,1,Milwaukie,SD,57591,1
212,Ole,Hanson,33,S,M,50000,0,0,Partial Co,Skilled Manual,1,2,Beverly Hills,ND,58273,4
213,Ella,Carlson,53,M,F,50000,1,0,Partial Co,Skilled Manual,1,1,Trabuco Canyon,ND,58114,4
214,Erika,Anderson,67,S,F,50000,2,0,Graduate D,Management,0,1,Everett,MN,55584,1
215,Erika,Hanson,76,M,F,30000,1,0,Bachelors,Skilled Manual,0,1,Downey,ND,58119,4
216,John,Anderson,66,S,M,30000,2,0,Partial Co,Clerical,0,2,Walla Walla,MN,55779,1
217,Erik,Olson,42,M,M,10000,2,2,High Schoo,Manual,1,1,Colma,ND,58560,4
218,Inga,Larson,42,M,F,90000,4,4,Bachelors,Management,1,1,Portland,SD,57737,1
219,John,Olson,63,M,M,120000,5,5,High Schoo,Management,1,4,La Jolla,ND,58553,4
220,Sven,Anderson,39,S,M,60000,1,0,Graduate D,Professional,0,0,Springdale,OH,45246,3
221,Inga,Olson,66,S,F,60000,4,0,Graduate D,Management,0,2,Colma,ND,58036,4
222,Inga,Olson,36,M,F,30000,0,0,Partial Co,Clerical,0,1,Snohomish,MN,55157,1
223,Hans,Johnson,31,S,M,50000,0,0,Partial Co,Skilled Manual,1,1,Puyallup,MN,56419,1
224,Sven,Hanson,60,M,M,50000,2,1,High Schoo,Professional,0,2,Concord,ND,58354,4
225,Sven,Larson,34,M,M,20000,0,0,High Schoo,Manual,1,1,Coronado,ND,58346,4
226,Carl,Hanson,45,M,M,80000,0,0,Bachelors,Management,1,1,Lincoln Acres,ND,58652,4
227,Carl,Olson,39,S,M,10000,0,0,Partial Hi,Manual,0,2,Loveland,NE,68734,3
228,Kirsten,Olson,56,S,F,90000,4,2,High Schoo,Professional,0,1,La Jolla,ND,58582,4
229,Ella,Olson,54,S,F,60000,2,0,High Schoo,Professional,0,2,Salem,SD,57462,1
230,Carl,Johnson,34,S,M,20000,0,0,Partial Hi,Manual,0,1,Seattle,MN,55855,1
231,Sven,Carlson,41,M,M,30000,1,0,Bachelors,Clerical,1,0,Chula Vista,ND,58480,4
232,Ole,Larson,47,M,M,40000,1,0,Bachelors,Skilled Manual,1,0,Hixson,IN,46300,5
233,John,Hanson,65,S,M,20000,4,0,High Schoo,Skilled Manual,0,2,Walla Walla,MN,56367,1
234,Sven,Carlson,38,M,M,50000,1,0,Partial Co,Skilled Manual,1,1,Colma,ND,58419,4
235,Sven,Carlson,52,S,M,40000,2,0,Partial Co,Clerical,1,1,Santa Ana,ND,58654,4
236,Ella,Johnson,51,S,F,30000,3,0,Partial Co,Clerical,1,2,Edina,MN,55436,3
237,Katrin,Carlson,56,M,F,30000,1,0,High Schoo,Clerical,1,1,Everett,MN,55307,1
238,Erik,Hanson,35,S,M,40000,0,0,High Schoo,Skilled Manual,0,2,Salt Lake City,UT,84101,0
239,Sven,Johnson,61,S,M,90000,4,1,High Schoo,Management,0,3,Chula Vista,ND,58208,4
240,John,Larson,40,S,M,60000,1,0,Graduate D,Professional,1,0,San Gabriel,ND,58460,4
241,Erik,Carlson,35,M,M,70000,0,0,High Schoo,Management,1,2,Woodland Hills,ND,58401,4
242,Carl,Hanson,37,M,M,70000,0,0,Partial Co,Professional,1,2,Woodbury,MN,55125,3
243,Hans,Carlson,44,M,M,50000,2,0,High Schoo,Skilled Manual,1,2,West Covina,ND,58785,4
244,John,Larson,44,S,M,50000,0,0,Graduate D,Skilled Manual,1,0,San Ysidro,ND,58572,4
245,Erik,Anderson,44,S,M,80000,5,5,Graduate D,Management,1,3,Issaquah,MN,56471,1
246,John,Olson,47,M,M,10000,3,2,Partial Hi,Manual,1,2,North Sioux City,SD,57049,0
247,Inga,Carlson,52,S,F,20000,2,0,Partial Co,Manual,0,1,Elgin,IL,60120,3
248,Carl,Larson,35,S,M,130000,5,5,Partial Hi,Professional,0,4,Lebanon,SD,57648,1
249,Carl,Johnson,30,M,M,10000,0,0,Bachelors,Manual,0,0,Burlingame,ND,58055,4
250,Inga,Olson,31,S,F,40000,1,1,Bachelors,Skilled Manual,1,0,Bothell,MN,56182,1
251,Sven,Hanson,55,S,M,30000,1,0,High Schoo,Clerical,0,1,Lynnwood,MN,55653,1
252,Carl,Olson,44,S,M,40000,0,0,Bachelors,Skilled Manual,1,0,Colma,ND,58177,4
253,Ole,Hanson,55,M,M,20000,3,0,Partial Hi,Clerical,0,2,Lynnwood,MN,55331,1
254,Erika,Anderson,41,S,F,80000,4,4,Graduate D,Management,1,1,Clearwater,WI,53088,5
255,Inga,Olson,53,S,F,50000,2,0,Partial Hi,Skilled Manual,0,2,Redmond,MN,56518,1
256,Carl,Hanson,67,M,M,50000,2,0,Graduate D,Management,1,1,Newport Beach,ND,58261,4
257,Ingrid,Carlson,50,S,F,20000,1,1,Partial Co,Manual,1,0,Downey,ND,58846,4
258,Kirsten,Olson,44,S,F,50000,0,0,Graduate D,Skilled Manual,0,0,Woodburn,SD,57051,1
259,Carl,Carlson,41,M,M,70000,5,0,Graduate D,Professional,1,0,Chula Vista,ND,58094,4
260,Hans,Anderson,50,M,M,80000,5,4,Partial Co,Professional,1,4,Colma,ND,58725,4
